Site,Date ,Transect,Start Lat,Start Long,End Lat ,End Long,Species,Habitat,Crevice Depth (cm),Crevice Width (cm),Position (m),Size (cm),Notes
Soberanes,20021005,3,,,,,H_cracherodii,SD,6,6,28.5,5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,0.5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,0.5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,0.5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,0.5,
Soberanes,20021005,4,,,,,H_cracherodii,C,10,5,29.2,2.5,
Soberanes,20021005,4,,,,,H_cracherodii,C,10,5,22.6,3,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,3.5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,3.5,
Soberanes,20021005,4,,,,,H_cracherodii,C,15,10,20.8,3.5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,4,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,4,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,4,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,4,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,4,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,4,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,4,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,4,
Soberanes,20021005,4,,,,,H_cracherodii,C,15,5,23,4,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,4.5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,4.5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,4.5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,4.5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,4.5,
Soberanes,20021005,4,,,,,H_cracherodii,C,20,5,4.8,5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,5,
