Site,Date ,Transect,Start Lat,Start Long,End Lat ,End Long,Species,Habitat,Crevice Depth (cm),Crevice Width (cm),Position (m),Size (cm),Notes
Hopkins ,20170210,7,36.62147,121.90385,36.62169,121.904,H_cracherodii,Crevice,>30,>30,23.7,13,
Hopkins ,20170210,7,36.62147,121.90385,36.62169,121.904,H_cracherodii,Crevice,15,20,26.2,12,
Hopkins ,20170210,7,36.62147,121.90385,36.62169,121.904,H_cracherodii,Crevice,15,20,26.2,15,
Hopkins ,20170210,7,36.62147,121.90385,36.62169,121.904,H_cracherodii,Crevice,15,20,26.2,6,
Hopkins ,20170210,8,36.6214,121.90379,36.62119,121.90358,H_cracherodii,Crevice,15,3,5,15,
Hopkins ,20170210,8,36.6214,121.90379,36.62119,121.90358,H_cracherodii,Crevice,15,3,5,7,
Carmel Bay,20170226,1,36.5443,121.93372,36.54406,121.93382,H_cracherodii,Boulder,15,5,5.5,16,
Carmel Bay,20170226,1,36.5443,121.93372,36.54406,121.93382,H_cracherodii,Boulder,40,4.5,9.4,13,
Carmel Bay,20170226,1,36.5443,121.93372,36.54406,121.93382,H_cracherodii,Boulder,30,25,4.3,10,
Carmel Bay,20170226,1,36.5443,121.93372,36.54406,121.93382,H_cracherodii,Boulder,30,,4.7,15,
Carmel Bay,20170226,1,36.5443,121.93372,36.54406,121.93382,H_cracherodii,Boulder,50,,4.7,15,
Carmel Bay,20170226,1,36.5443,121.93372,36.54406,121.93382,H_cracherodii,Crevice,10,,,17,
Carmel Bay,20170226,1,36.5443,121.93372,36.54406,121.93382,H_cracherodii,Crack,55,15,26.2,17,
Carmel Bay,20170226,1,36.5443,121.93372,36.54406,121.93382,H_cracherodii,Crack,20,10,27.4,8,
Carmel Bay,20170226,2,36.54347,121.93403,36.54324,121.93386,H_cracherodii,Boulder,30,4,3.2,12,
Carmel Bay,20170226,2,36.54347,121.93403,36.54324,121.93386,H_cracherodii,Rock,5,5,4.7,3,
Carmel Bay,20170226,2,36.54347,121.93403,36.54324,121.93386,H_cracherodii,Boulder,5,10,29.7,15,
Carmel Bay,20170226,4,36.54402,121.93382,36.54383,121.93402,H_cracherodii,Rock,32,13,11.4,16,
Carmel Bay,20170226,4,36.54402,121.93382,36.54383,121.93402,H_cracherodii,Rock,6,5,18.7,15,
Carmel Bay,20170226,4,36.54402,121.93382,36.54383,121.93402,H_cracherodii,Rock,29,27,15.7,7,
Carmel Bay,20170226,4,36.54402,121.93382,36.54383,121.93402,H_cracherodii,Rock,31,27,15.6,8,
Carmel Bay,20170226,4,36.54402,121.93382,36.54383,121.93402,H_cracherodii,Rock,13,10,1.3,12,
Carmel Bay,20170226,5,36.54348,121.93408,36.54375,121.93399,H_cracherodii,Boulder,13,15,4.6,12,
Carmel Bay,20170226,5,36.54348,121.93408,36.54375,121.93399,H_cracherodii,Boulder,24,17,14.7,9,
Carmel Bay,20170226,5,36.54348,121.93408,36.54375,121.93399,H_cracherodii,Boulder,17,10,11.8,19,
Carmel Bay,20170226,6,,,36.54379,121.93397,H_cracherodii,Boulder,20,5,19.4,8,
Carmel Bay,20170226,6,,,36.54379,121.93397,H_cracherodii,Boulder,45,35,5.2,10,
Carmel Bay,20170226,6,,,36.54379,121.93397,H_cracherodii,Boulder,45,35,5.2,12,
Carmel Bay,20170226,6,,,36.54379,121.93397,H_cracherodii,Boulder,28,10,4.9,14,
Carmel Bay,20170226,6,,,36.54379,121.93397,H_cracherodii,Boulder,10,8,2,12,
Carmel Bay,20170226,6,,,36.54379,121.93397,H_cracherodii,Boulder,10,6,1.9,10,
Carmel Bay,20170226,6,,,36.54379,121.93397,H_cracherodii,Rock,40,15,0.7,17,
Carmel Bay,20170226,6,,,36.54379,121.93397,H_cracherodii,Rock,80,7,0.5,18,
Carmel Bay,20170226,6,,,36.54379,121.93397,H_cracherodii,Rock,80,7,0.2,15,
Carmel Bay,20170226,6,,,36.54379,121.93397,H_cracherodii,Rock,80,7,0.1,14,
Carmel Bay,20170226,7,36.54375,121.93406,36.5435,121.93414,H_cracherodii,Rock,35,5,26.8,7,
Carmel Bay,20170226,7,36.54375,121.93406,36.5435,121.93414,H_cracherodii,Rock,35,5,29.2,14,
Carmel Bay,20170226,7,36.54375,121.93406,36.5435,121.93414,H_cracherodii,Boulder,10,4,17.9,10,
Carmel Bay,20170226,8,36.54344,121.93406,36.5432,121.93387,H_cracherodii,Rock,10,3,26.4,12,
Carmel Bay,20170307,9,36.54357,121.93422,36.54333,121.93412,H_cracherodii,Boulder,15,5,18,15,
Carmel Bay,20170307,9,36.54357,121.93422,36.54333,121.93412,H_cracherodii,Boulder,15,5,18,N/A,
Carmel Bay,20170307,9,36.54357,121.93422,36.54333,121.93412,H_cracherodii,Rock,25,5,13.3,10,
Carmel Bay,20170307,9,36.54357,121.93422,36.54333,121.93412,H_cracherodii,Rock,20,4,11.1,2,
Carmel Bay,20170307,9,36.54357,121.93422,36.54333,121.93412,H_cracherodii,Rock,20,4,11.1,2,
Carmel Bay,20170307,9,36.54357,121.93422,36.54333,121.93412,H_cracherodii,Rock,20,4,11.1,3,
Carmel Bay,20170307,9,36.54357,121.93422,36.54333,121.93412,H_cracherodii,Rock,20,4,11.1,4,
Carmel Bay,20170307,9,36.54357,121.93422,36.54333,121.93412,H_cracherodii,Rock,20,4,11.1,4,
Carmel Bay,20170307,9,36.54357,121.93422,36.54333,121.93412,H_cracherodii,Rock,20,4,11.1,4,
Carmel Bay,20170307,9,36.54357,121.93422,36.54333,121.93412,H_cracherodii,Boulder,4,15,8,5,
Carmel Bay,20170307,9,36.54357,121.93422,36.54333,121.93412,H_cracherodii,Boulder,10,5,1.5,3,
Point Pinos,20170310,1,36.6377,121.93633,36.63785,121.93675,H_cracherodii,Rock,30,0,4.6,3,
Point Pinos,20170310,1,36.6377,121.93633,36.63785,121.93675,H_cracherodii,Crevice,11,5,9.5,6,
Point Pinos,20170310,1,36.6377,121.93633,36.63785,121.93675,H_cracherodii,Crevice,20,10,9.5,9,
Point Pinos,20170310,1,36.6377,121.93633,36.63785,121.93675,H_cracherodii,Crevice,10,5,19,10,
Point Pinos,20170310,1,36.6377,121.93633,36.63785,121.93675,H_cracherodii,Crevice,10,5,19,8,
Point Pinos,20170310,1,36.6377,121.93633,36.63785,121.93675,H_cracherodii,Crevice,25,8,22,10,
Point Pinos,20170310,1,36.6377,121.93633,36.63785,121.93675,H_cracherodii,Crevice,30,9,22,12,
Point Pinos,20170310,3,36.63764,121.93639,36.63754,121.93607,H_cracherodii,Rock,20,15,11.7,8,
Point Pinos,20170310,4,36.63791,121.93674,36.63815,121.93694,H_cracherodii,Boulder,22,7,12,15,
Point Pinos,20170310,5,36.63819,121.93701,36.63843,121.93714,H_cracherodii,Rock,10,8,20.7,15,
Point Pinos,20170310,5,36.63819,121.93701,36.63843,121.93714,H_cracherodii,Boulder,7,3,22.6,4,
Point Pinos,20170310,5,36.63819,121.93701,36.63843,121.93714,H_cracherodii,Rock,15,5,25.1,4,
Point Pinos,20170310,5,36.63819,121.93701,36.63843,121.93714,H_cracherodii,Rock,10,7,25.75,7,
Point Pinos,20170310,6,36.63844,121.93742,36.63842,121.93717,H_cracherodii,Boulder,24,10,22,10,
Point Pinos,20170310,6,36.63844,121.93742,36.63842,121.93717,H_cracherodii,Boulder,22,10,22,9,
Point Pinos,20170310,6,36.63844,121.93742,36.63842,121.93717,H_cracherodii,Exposed,0,0,18,11,
Point Pinos,20170310,6,36.63844,121.93742,36.63842,121.93717,H_cracherodii,Cervice,25,11,23,7,
Point Pinos,20170310,6,36.63844,121.93742,36.63842,121.93717,H_cracherodii,Cervice,25,11,23,8,
Point Pinos,20170310,7,36.6384,121.93732,36.63845,121.93766,H_cracherodii,Boulder,25,10,14.4,10,
Point Pinos,20170310,7,36.6384,121.93732,36.63845,121.93766,H_cracherodii,Boulder,25,10,14.4,12,
Point Pinos,20170310,7,36.6384,121.93732,36.63845,121.93766,H_cracherodii,Boulder,25,10,14.4,10,
Cannery Row,20170404,1,36.6137,121.8973,36.61391,121.89748,H_cracherodii,Crevice,15,10,29.35,6,
Cannery Row,20170404,2,36.61399,121.89769,36.61383,121.89753,H_cracherodii,Crevice,60,10,5.6,15,
Cannery Row,20170404,2,36.61399,121.89769,36.61383,121.89753,H_cracherodii,Crevice,11,12,7,10,
Cannery Row,20170404,2,36.61399,121.89769,36.61383,121.89753,H_cracherodii,Crevice,60,3,5.6,6,
Cannery Row,20170404,2,36.61399,121.89769,36.61383,121.89753,H_cracherodii,Crevice,60,10,5.6,5,
Cannery Row,20170404,2,36.61399,121.89769,36.61383,121.89753,H_cracherodii,Crevice,,,4.2,2,
Cannery Row,20170404,4,36.6143,121.89788,36.61457,121.89794,H_cracherodii,Rock,15,5,28,5,
Cannery Row,20170404,4,36.6143,121.89788,36.61457,121.89794,H_cracherodii,Rock,15,5,28,8,
Cannery Row,20170404,4,36.6143,121.89788,36.61457,121.89794,H_cracherodii,Rock,15,5,28,7,
Cannery Row,20170404,5,36.61441,121.89798,36.61459,121.89812,H_cracherodii,Rock,100,5,11.3,7,
Cannery Row,20170404,5,36.61441,121.89798,36.61459,121.89812,H_cracherodii,Rock,100,5,11.3,4,
Cannery Row,20170404,5,36.61441,121.89798,36.61459,121.89812,H_cracherodii,Rock,100,5,11.3,4,
Hopkins,20180212,1,36.62132,-121.90365,36.62152,-121.90366,H_cracherodii,R,35,20,12.9,6,
Hopkins,20180212,1,36.62132,-121.90365,36.62152,-121.90366,H_cracherodii,R,35,20,12.9,8,
Hopkins,20180212,2,36.62116,-121.90348,36.62138,-121.90365,H_cracherodii,B,25,15,13.5,10.5,
Hopkins,20180212,2,36.62116,-121.90348,36.62138,-121.90365,H_cracherodii,R,25,15,13.5,9,
Hopkins,20180212,3,36.62132,-121.90345,36.62114,-121.90319,H_cracherodii,R,34,11,9,14,
Hopkins,20180212,3,36.62132,-121.90345,36.62114,-121.90319,H_cracherodii,B,50,12,29.35,16,
Hopkins,20180212,3,36.62132,-121.90345,36.62114,-121.90319,H_cracherodii,B,13,7,29.2,7,
Hopkins,20180212,3,36'62132,-121.90345,36.62114,-121.90319,H_cracherodii,B,8,10,29.5,7,
Hopkins,20180212,4,36.62 120,-121.90322,36.62 145,-121.90338,H_cracherodii,R,21,16,25.4,4,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,B,65,3,4.1,7,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,B,65,3,4.1,4,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,B,65,3,4.1,10,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,B,63,3,4.85,10,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,B,63,3,4.85,6,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,B,63,3,4.85,3,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,R,65,5,23.65,4,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,R,65,5,23.65,2,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,R,65,5,23.65,2,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,R,77,4,24.2,6,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,R,73,4,24.75,5,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,R,73,4,24.75,8,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,R,73,4,24.75,9,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,R,73,4,24.75,2,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,R,70,4,25.5,7,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,R,5,3,25.7,10,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,R,45,5,24.9,5,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,R,65,5,23.65,4,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,R,65,5,23.65,2,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,R,65,5,23.65,2,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,R,73,4,24.75,2,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,R,73,4,24.75,7,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,B,63,3,4.85,10,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,B,63,3,4.85,6,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,B,63,3,4.85,3,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,B,65,3,4.1,7,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,B,65,3,4.1,4,
Hopkins,20180212,5,36.6213,-121.90321,36.62148,-121.90334,H_cracherodii,R,80,25,4.1,10,
Pt Pinos,20180226,2,36.63807,-121.93694,36.63787,-121.9367,H_cracherodii,B,20,10,6.9,11,
Pt Pinos,20180226,2,36.63807,-121.93694,36.63787,-121.9367,H_cracherodii,B,30,15,12.9,14,
Pt Pinos,20180226,2,36.63807,-121.93694,36.63787,-121.9367,H_cracherodii,B,12,8,22.8,12,
Pt Pinos,20180226,2,36.63807,-121.93694,36.63787,-121.9367,H_cracherodii,B,30,15,12.9,14,
Pt Pinos,20180226,2,36.63807,-121.93694,36.63787,-121.9367,H_cracherodii,C,25,6,22.73,8,
Pt Pinos ,20180226,3,36.63818,-121.9369,36.63840,-121.93707,H_cracherodii,R,20,3,17,10,
Pt Pinos ,20180226,3,36.63818,-121.9369,36.63840,-121.93707,H_cracherodii,R,20,3,17,8,
Pt Pinos ,20180226,3,36.63818,-121.9369,36.63840,-121.93707,H_cracherodii,R,20,3,17,5,
Pt Pinos ,20180226,3,36.63818,-121.9369,36.63840,-121.93707,H_cracherodii,R,40,6,27.2,8,
Pt Pinos ,20180226,3,36.63818,-121.9369,36.63840,-121.93707,H_cracherodii,R,70,6,28.8,10,
Pt Pinos ,20180226,3,36.63818,-121.9369,36.63840,-121.93707,H_cracherodii,R,70,6,28.8,7,
Pt Pinos ,20180226,3,36.63818,-121.9369,36.63840,-121.93707,H_cracherodii,R,25,25,25.4,7,
Pt Pinos ,20180226,3,36.63818,-121.9369,36.63840,-121.93707,H_cracherodii,R,45,25,21.7,5,
Pt Pinos ,20180226,3,36.63818,-121.9369,36.63840,-121.93707,H_cracherodii,R,15,4,16.8,6,
Pt Pinos ,20180226,4,36.63851,-121.93739,36.63839,-121.93707,H_cracherodii,R,18,6,5.7,9.8,
Pt Pinos ,20180226,4,36.63851,-121.93739,36.63839,-121.93707,H_cracherodii,R,17,6,5.7,9,
Pt Pinos ,20180226,4,36.63851,-121.93739,36.63839,-121.93707,H_cracherodii,R,35,5,26.6,6,
Pt Pinos ,20180226,4,36.63851,-121.93739,36.63839,-121.93707,H_cracherodii,R,35,5,26.6,4,
Pt Pinos ,20180226,5,36.63852,-121.93766,36.63844,-121.93736,H_cracherodii,B,20,8,0.4,10,
Pt Pinos ,20180226,5,36.63852,-121.93766,36.63844,-121.93736,H_cracherodii,B,55,30,3.5,11,
Pt Pinos ,20180226,5,36.63852,-121.93766,36.63844,-121.93736,H_cracherodii,B,55,30,3.5,12,
Pt Pinos ,20180226,5,36.63852,-121.93766,36.63844,-121.93736,H_cracherodii,R,55,7,17.6,10,
Pt Pinos ,20180226,5,36.63852,-121.93766,36.63844,-121.93736,H_cracherodii,R,55,7,17.6,12,
Pt Pinos ,20180226,5,36.63852,-121.93766,36.63844,-121.93736,H_cracherodii,B,40,10,21.4,6,
Pt Pinos ,20180227,4,36.63851,-121.93739,36.63839,-121.93707,H_cracherodii,R,10,4,9.05,6,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,R,5,10,3.4,11,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,R,27,10,3.75,12,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,R,10,3,3.3,5,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,R,10,3,3.3,10,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,R,16,8,3.5,12,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,R,16,8,3.5,9,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,R,15,3,3.5,14,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,R,15,3,3.5,10,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,R,13,4,3.8,7,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,R,13,4,4.8,11,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,R,13,4,4.8,8,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,R,13,4,4.8,10,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,R,30,5,4,13,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,R,30,5,4,6,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,R,30,5,4,8,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,R,30,5,4,16,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,30,8,16.5,13,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,20,5,19.85,14.3,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,7,6.8,7,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,7,6.8,7,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,7,6.8,9,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,7,6.8,8,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,4,5,8.1,6,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,8,3,11.1,5,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,5,2,11.3,6,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,10,11.8,8,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,10,11.8,13,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,10,11.8,14,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,13,12.6,6,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,13,12.6,N/A,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,35,6,12.6,6,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,35,6,12.6,15,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,35,6,12.6,11,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,35,6,12.6,6,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,4,13.2,10,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,4,13.2,3,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,4,13.2,17,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,4,13.2,10,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,4,13.2,15,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,4,13.2,8,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,4,14.2,6,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,4,14.2,5,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,4,14.2,6,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,25,4,14.2,9,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,40,5,28.5,12,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,40,5,28.6,13,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,40,5,28.7,8,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,40,5,28.8,13,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,40,5,28.8,6,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,40,5,28.8,7,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,40,5,29,5,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,40,5,29.1,10,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,12,4,29.2,3,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,12,4,29.2,8,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,12,4,29.2,7,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,40,5,29.4,7,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,40,5,29.5,4,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,40,5,29.5,8,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,40,5,29.5,3,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,40,5,29.5,6,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,40,5,29.5,3,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,40,5,29.5,5,
Carmel Point,20180228,1,36.54436,-121.93376,36.54411,-121.93389,H_cracherodii,B,40,5,29.5,5,
Carmel Point,20180228,2,36.54436,-121.9337,36.54409,-121.93391,H_cracherodii,rock,21,3,3.25,15,
Carmel Point,20180228,2,36.54436,-121.9337,36.54409,-121.93391,H_cracherodii,rock,10,8,4.25,9,
Carmel Point,20180228,2,36.54436,-121.9337,36.54409,-121.93391,H_cracherodii,boulder,35,10,10.7,12,
Carmel Point,20180228,2,36.54436,-121.9337,36.54409,-121.93391,H_cracherodii,boulder,35,8,10.6,15,
Carmel Point,20180228,2,36.54436,-121.9337,36.54409,-121.93391,H_cracherodii,boulder,35,8,10.6,13,
Carmel Point,20180228,2,36.54436,-121.9337,36.54409,-121.93391,H_cracherodii,rock,22,11,12,12,
Carmel Point,20180228,2,36.54436,-121.9337,36.54409,-121.93391,H_cracherodii,rock,15,3,20.25,4,
Carmel Point,20180228,2,36.54436,-121.9337,36.54409,-121.93391,H_cracherodii,rock,18,6,26.6,16,
Carmel Point,20180228,3,36.5441,-121.93391,36.54385,-121.93406,H_cracherodii,R,30,6,8.4,7,
Carmel Point,20180228,3,36.5441,-121.93391,36.54385,-121.93406,H_cracherodii,B,60,20,20.6,12,
Carmel Point,20180228,3,36.5441,-121.93391,36.54385,-121.93406,H_cracherodii,B,60,20,20.6,10,
Carmel Point,20180228,3,36.5441,-121.93391,36.54385,-121.93406,H_cracherodii,B,60,20,20.6,10,
Carmel Point,20180228,3,36.5441,-121.93391,36.54385,-121.93406,H_cracherodii,R,50,10,21.5,15,
Carmel Point,20180228,3,36.5441,-121.93391,36.54385,-121.93406,H_cracherodii,R,5,8,21.8,12,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,B,50,15,1,8,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,B,50,20,2.85,11,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,B,10,10,3.9,11,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,B,10,10,3.9,11.5,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,B,10,10,3.9,5,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,B,10,10,3.9,5,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,B,10,10,3.9,12,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,B,10,10,3.9,5,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,B,10,10,3.9,5,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,B,10,10,3.9,10,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,B,10,10,3.9,5,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,B,10,10,3.9,5,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,B,10,10,3.9,8,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,B,15,5,4.75,5,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,B,60,5,6.3,9,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,B,60,5,6.3,9,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,R,35,5,14,5,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,R,35,5,14,7,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,R,30,7,14.7,5,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,R,11,5,13.8,3.5,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,R,23,15,16.1,6,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,R,20,12,16.4,8,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,R,20,12,16.4,8.5,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,R,10,3,16.6,6,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,R,35,10,17.8,12,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,R,60,20,18.2,11,
Carmel Point,20180228,4,36.54403,-121.93381,36.5438,-121.934,H_cracherodii,R,60,20,18.2,9,
